EXEMPLOS DE SOLUÇÕES

# MÉTODO: Primeiro caso

        x1 |        x2 |        x3 |        x4 |       x5 |       x6 |   res.
  0.707107 |  0.0168148 |  0.707107 | 0.999859 |    0 |    0 |      0
 -0.707107 |  0.0168148 |  0.707107 | 0.999859 |    0 |    0 |      0
 -0.707107 |  0.0168148 | -0.707107 | 0.999859 |    0 |    0 |      0
  0.707107 |  0.0168148 | -0.707107 | 0.999859 |    0 |    0 |      0

# MÉTODO: Terceiro caso

         x1 |        x2 |       x3 |        x4 |   x5 |   x6 |   res.
------------+-----------+----------+-----------+------+------+--------
  0.425891  |  0.707107 | 0.904774 |  0.707107 |    0 |    0 |      0
  0.425891  | -0.707107 | 0.904774 |  0.707107 |    0 |    0 |      0
  0.425891  | -0.707107 | 0.904774 | -0.707107 |    0 |    0 |      0
  0.425891  |  0.707107 | 0.904774 | -0.707107 |    0 |    0 |      0
 -0.292599  |  0.707107 | 0.956235 |  0.707107 |    0 |    0 |      0
 -0.292599  | -0.707107 | 0.956235 |  0.707107 |    0 |    0 |      0
 -0.292599  | -0.707107 | 0.956235 | -0.707107 |    0 |    0 |      0
 -0.292599  |  0.707107 | 0.956235 | -0.707107 |    0 |    0 |      0
  0.391067  |  0.707107 | 0.920362 |  0.707107 |    0 |    0 |      0
  0.391067  | -0.707107 | 0.920362 |  0.707107 |    0 |    0 |      0
  0.391067  | -0.707107 | 0.920362 | -0.707107 |    0 |    0 |      0
  0.391067  |  0.707107 | 0.920362 | -0.707107 |    0 |    0 |      0
  0.715098  |  0.707107 | 0.699024 |  0.707107 |    0 |    0 |      0
  0.715098  | -0.707107 | 0.699024 |  0.707107 |    0 |    0 |      0
  0.715098  | -0.707107 | 0.699024 | -0.707107 |    0 |    0 |      0
  0.715098  |  0.707107 | 0.699024 | -0.707107 |    0 |    0 |      0
 -0.750611  |  0.707107 | 0.660744 |  0.707107 |    0 |    0 |      0
 -0.750611  | -0.707107 | 0.660744 |  0.707107 |    0 |    0 |      0
 -0.750611  | -0.707107 | 0.660744 | -0.707107 |    0 |    0 |      0
 -0.750611  |  0.707107 | 0.660744 | -0.707107 |    0 |    0 |      0
